gene,drug_id,rho,pvalue,n_lines,fdr,name
HOXC8,BRD-K27677357-003-04-9,0.17131057800121013,3.5416311299143735e-07,873,5.315289460499502e-07,ruboxistaurin
BMPR1B,BRD-K04466929-001-12-9,0.1713218590497157,3.2727757743878e-07,878,4.950573775094923e-07,Merck60
E2F3,BRD-K26501486-001-02-9,0.17132321318457486,3.374616765049281e-07,876,5.090128624248584e-07,SR-1078
TCF7L2,BRD-K00003267-003-01-9,0.1713251187781048,3.271068545596792e-07,878,4.948459032377522e-07,ombrabulin
EGFR,BRD-K00004751-001-01-9,0.17132797996137838,3.2695707555276675e-07,878,4.946686153430389e-07,inarigivir-soproxil
PXN,BRD-K00003505-001-01-9,0.17133065707191816,3.2681699235567486e-07,878,4.944886868218316e-07,nemorexant
CCND1,BRD-K00003269-001-01-9,0.17134493741196632,3.522312614652258e-07,873,5.292413399527649e-07,LEQ506
ITGAV,BRD-K00003205-003-01-9,0.17134932199283917,3.258419329666595e-07,878,4.93109146419112e-07,D-3263
PDGFRB,BRD-K26501486-001-02-9,0.17134981219729997,3.360309816002413e-07,876,5.070512042069107e-07,SR-1078
RHD,BRD-K00003116-001-01-9,0.17135055633317187,3.257775496991223e-07,878,4.93047629683026e-07,CC-90003
BCAR3,BRD-K00071599-001-02-9,0.17135782169318275,4.431371446880385e-07,858,6.473935082915887e-07,Remdesivir
NEDD9,BRD-K30421675-001-04-9,0.17136346664614596,3.511936770515231e-07,873,5.277841190874614e-07,JNJ-64619178
MITF,BRD-K50199947-001-07-9,0.17136575113649757,3.351764682531698e-07,876,5.058271076395096e-07,WH-4-023
ZNFX1,BRD-K00005345-001-01-9,0.17137078917716628,3.2472394925996885e-07,878,4.915764066392896e-07,20-HETE
HSF4,BRD-K00091134-001-01-9 - QC Failure,0.17139954789357942,4.4025132602546973e-07,858,6.43740865357062e-07,Dauricine - QC Failure
CDKN2B,BRD-K43812936-001-01-9,0.17140739324376458,3.228261765592098e-07,878,4.888618244487398e-07,Mps1-IN-5
EGFR,BRD-K79878800-239-02-9,0.17140987330253304,3.2269798293611936e-07,878,4.886993622227034e-07,saroglitazar
ITGB5,BRD-K32892871-003-02-9,0.17140992448213335,3.328191904140116e-07,876,5.025617081248405e-07,JHW-007
ALDH3A1,BRD-K00005264-001-02-9,0.17142230090198432,3.220563419393249e-07,878,4.878857158287465e-07,AZD5991
ZEB1,BRD-K99308908-001-02-9,0.17143205726942726,3.215534792564373e-07,878,4.871870813679147e-07,A-939572
NAV2,BRD-K00003126-001-01-9,0.17144884879791555,3.2068978177120544e-07,878,4.860124691285666e-07,G-749
RASGRP3,BRD-K13642819-001-02-9,0.1714580668812307,3.4594206808817435e-07,873,5.206437468063829e-07,trimetrexate
DKK1,BRD-K00003499-001-01-9,0.17146425906840398,3.198990992608395e-07,878,4.850263865017413e-07,adavivint
CITED2,BRD-K00003331-001-01-9,0.17147009586959172,3.4527974222077675e-07,873,5.197319595017707e-07,NIM811
TOX3,BRD-A74328360-409-02-8,0.1714749907711953,3.2937605236084236e-07,876,4.979738078645195e-07,antimonyl
ESR1,BRD-K00004701-001-01-9,0.17148651282750466,3.187606004745608e-07,878,4.834570249377959e-07,KPT-9274
IRS1,BRD-K00003408-001-01-9,0.17149217028413433,3.44067484293622e-07,873,5.179739286898893e-07,iberdomide
RBFOX2,BRD-K00091277-001-01-9,0.17149265457055088,4.3387709152266004e-07,858,6.355336790591382e-07,Petesicatib
BMPR1B,BRD-K00003412-300-01-9,0.17149383038228025,3.183870894477295e-07,878,4.829532096685056e-07,trilaciclib
HDLBP,BRD-K00004749-001-01-9,0.17150748658460988,3.4322877207227094e-07,873,5.169776929092683e-07,NCX-1015
ITGB5,BRD-K00003310-001-01-9,0.17151537847253318,3.1728965543751943e-07,878,4.813822672434732e-07,derazantinib
RBFOX2,BRD-K00078209-001-02-9,0.1715284478092546,4.3145035768657657e-07,858,6.324307237930583e-07,Fulacimstat
TIPARP,BRD-K00003222-001-01-9,0.17155103066674263,3.154819077867479e-07,878,4.790127427266856e-07,tradipitant
TNS3,BRD-K00005338-001-01-9,0.17155554642538853,3.406098117305898e-07,873,5.13363804718343e-07,VL285
PAX8,BRD-K01826330-001-01-9,0.1715577796513335,3.15140819211683e-07,878,4.78557028563151e-07,etifoxine
BCL2L1,BRD-K00003238-001-01-9,0.1715664783918826,3.1470171570636905e-07,878,4.779862337794848e-07,sitravatinib
IRS1,BRD-K00091090-001-01-9,0.17157115966061445,4.285716545871137e-07,858,6.285896900539706e-07,S55746
FOXF1,BRD-K00003316-001-01-9,0.17157418703614305,3.143130841328542e-07,878,4.775172518430231e-07,eldecalcitol
CD63,BRD-K00003285-001-01-9,0.1715827262635318,3.138831187000416e-07,878,4.769260336924569e-07,nemiralisib
CIRBP,BRD-K00004573-001-01-9,0.17158515977818167,3.137606907020665e-07,878,4.7683301014946995e-07,RG7834
GPC1,BRD-K00091276-003-01-9 - QC Failure,0.17158556392324262,4.2760501053163224e-07,858,6.273687574479164e-07,Foliglurax (monohydrochloride) - QC Failure
TBX2,BRD-K00003111-001-01-9,0.17158801900017248,3.1361690454560554e-07,878,4.7664548660683394e-07,BOS-172722
BCL6,BRD-K00090655-305-01-9 - QC Failure,0.17158934203991275,4.273518157515792e-07,858,6.270760068901249e-07,ATM-3507 (trihydrochloride) - QC Failure
CD63,BRD-A74328360-409-02-8,0.17159299299015268,3.2321906999539915e-07,876,4.893933728901574e-07,antimonyl
CDH11,BRD-K29066607-001-02-9,0.17159648048824616,3.131917604762299e-07,878,4.7609221631547617e-07,D-157495
DOCK5,BRD-K00003496-001-01-9,0.1716043750257239,3.3796868497097493e-07,873,5.096789330972788e-07,baloxavir
SCYL1,BRD-K00003105-003-01-9,0.1716059001285435,3.127191278405399e-07,878,4.7546652718508317e-07,IACS-10759
DOK4,BRD-K00003370-001-01-9,0.17160749081219,3.126393827964621e-07,878,4.7537620549859563e-07,cadazolid
ZNFX1,BRD-K00091121-003-01-9,0.1716188652213135,4.253782525676053e-07,858,6.243760923827212e-07,SEL120-34A (monohydrochloride)
MECOM,BRD-K55790047-001-02-9,0.17162367886881186,3.216362411871682e-07,876,4.872808860456664e-07,ON-01500
JUN,BRD-K00003133-001-01-9,0.17162982705468907,3.1152167761163865e-07,878,4.7389251816839485e-07,velpatasvir
PAX8,BRD-K00091118-001-01-9,0.17163733503235562,4.241480506790401e-07,858,6.227609869271894e-07,Tefinostat
GRHL2,BRD-K45044657-001-01-4,0.17164522313124206,3.205294186658004e-07,876,4.858559941018929e-07,TC-H-106
E2F3,BRD-K00091071-001-01-9,0.17165495863141805,4.2297740668827283e-07,858,6.212812939365456e-07,PF-06952229
RBFOX2,BRD-K00004614-001-01-9,0.17165661047793146,3.3516513366205893e-07,873,5.058271076395096e-07,GSK3117391
YAP1,BRD-K00003237-001-01-9,0.17165997453948487,3.1001920369429087e-07,878,4.718833493157256e-07,mavatrep
IGF1R,BRD-K00003499-001-01-9,0.17166338740225168,3.09849556061186e-07,878,4.716558437060075e-07,adavivint
GPC1,BRD-K00078382-001-02-9 - QC Failure,0.1716715227951474,4.21879972661337e-07,858,6.197082974697234e-07,Pipequaline - QC Failure
CDKN2B,BRD-K29066607-001-02-9,0.17168074447150963,3.08988149326762e-07,878,4.7037523780792553e-07,D-157495
MECOM,BRD-K00003360-001-01-9,0.1716876920587484,3.086439977041538e-07,878,4.699125473481521e-07,CPI-1205
