,antigen_presentation_loss,ifn_gamma_signaling,tgfb_exclusion,wnt_beta_catenin,immune_checkpoints,myeloid_suppression
ACH-000075,0.6606852475155585,0.1335665058026504,0.6784658330727659,0.3908490441491072,0.4351894565743917,0.8267926023156548
ACH-000818,-0.26896041719899483,-0.14788468682147438,-0.12181058912749837,0.15567427187002675,-0.3584358413662508,-0.3174259741947602
ACH-003184,-0.12158470490440751,-0.5890862197467095,0.9208007445907495,-0.4644576051425675,0.05269140023289708,0.17147563791131892
ACH-001616,-0.20301765268894914,-0.31462920571756325,-0.576122650252418,-0.44448406059236945,-0.4753478623106042,-0.478956281569598
ACH-000625,-0.9544926132894578,-0.22563721054928138,0.07910891486760309,0.1426219947471829,-0.20081799116484586,0.11518715950840804
ACH-000941,-1.085725608678008,-0.8161657642923783,-0.20978860935537794,0.24437001139615414,0.061009995396748506,-0.2312235654100591
ACH-000392,0.3411289391736109,-0.3727771844501622,-0.27871963506384945,-0.3051800430523244,-0.18781964419165997,0.015355708923182257
ACH-000269,-0.03007403622769247,-0.47021392375524673,0.31136944016158025,0.5728665373335396,0.11243145593252002,-0.07516687172027617
ACH-001670,-1.531593725596898,-0.36385375893318583,-0.16346554368046692,0.006240607444259782,-0.44553305092087186,-0.27992019336439666
ACH-003133,0.11503554372495967,0.07230674537328825,0.7055242203074105,0.2825688639133245,0.2605784648412556,0.6397451385959988
ACH-000856,-0.6264740949937944,-0.5086121760132581,0.4120248371390342,0.392503035692963,0.16638693847881933,0.20741860263275144
ACH-002687,-0.9451156829129755,-0.8903911234611801,-0.648490475470539,-0.31110500341467534,-0.4530718528889039,-0.4000032376085947
ACH-001119,0.48960322648354393,0.5335455063984892,-0.5796163499991479,-0.7330648052832344,0.8059731307068243,0.16720651255946975
ACH-003132,0.23558705543206163,0.35257252284143864,1.2500739568908654,0.23423983103276175,0.09083845731073148,0.27532480190860764
ACH-000376,1.0429140349171873,0.2173346893200209,0.18474791826522727,0.30335363728195464,0.12641585326201307,0.6523720957781619
ACH-000685,0.05637188067575464,-0.20839108721545313,-0.23702144417509094,-0.005809228436638869,-0.015380926991365099,-0.034675104617746796
ACH-000729,-1.3992419533765477,-0.6614937516238707,-0.23281997607756244,-0.2797980848379226,-0.2572034867663692,-0.5974416048715413
ACH-001034,-1.318593987580278,-0.1523935879306312,0.4082306330898388,0.23609619737594728,-0.22421251943128576,-0.1590288736053088
ACH-001283,-1.2340002353307602,-0.41057800941967687,-0.00955748714510977,0.20309917602791297,-0.2652943501140671,-0.24355765343658486
ACH-000880,0.11082713165845669,0.44641298021441816,-0.08360298852039683,0.7654103723011569,-0.2978507196168579,-0.1530467791683885
ACH-000035,0.3550801392164517,0.5218599439169522,0.25242908687970794,-0.09818196131901895,0.02335306170831517,0.1985283151568981
ACH-001200,-1.3601908708649117,-0.9206283658940282,-0.462257102322055,-0.3039090963608063,-0.5420756766912548,-0.6247289718630004
ACH-000194,0.4160277073680728,0.507179955301471,1.2092093472065504,0.3639494847131759,0.19086894161461546,0.21784979121654072
ACH-000322,0.4691182197989471,-0.2857220212310404,0.26233514189705787,0.3957933392805727,-0.3200525407308556,0.0070667345795172405
ACH-000552,-0.7266539248792087,-0.5810745601313951,-0.7428531139097925,0.25498648062295426,-0.3703676672539178,-0.5160057409215374
ACH-002508,0.6682298927543264,0.5930280670473755,0.15117548771217645,-0.192850039672662,-0.11823146353737844,-0.12788925417108585
ACH-000222,-0.06142867531967548,0.6028227762998618,-0.4240919650261396,0.3836592670915172,-0.11905634339176098,-0.2244940149393623
ACH-000260,-0.23679912392288188,-0.2516181296268897,0.4737342684612526,0.21787407941015074,0.04654850165997517,0.004018006858905909
ACH-001652,-0.1445494626558867,-0.16088859949062756,-0.1278619299976209,-0.5545804982542438,0.05411841489981229,0.0339624639702058
ACH-000608,0.39379574473272505,0.2683415720738893,-0.20679033969108515,2.9119387355795565,-0.0010855951569634832,-0.5772053498233708
ACH-000501,0.5612427513506945,0.26214468096736,-0.488286074281753,0.1421578788730573,0.31570533356219255,-0.04694223721365931
ACH-000612,1.1664170368954958,2.3263776665282077,0.1801296441340495,-0.48917648451019957,1.3251726460105357,0.2502917895587207
ACH-002033,0.10703407322127624,-0.20127819451599974,0.7967417731416871,-0.11252587767645457,0.36548511757003505,-0.15564915709903732
ACH-001184,-2.207911835563179,-1.1408703490790248,-0.38050598143368247,-0.17256350202949206,-0.013557060071235047,-0.6498072956254475
ACH-001688,-0.8163547704162274,-0.7551278973256197,-0.5421881275492932,-0.8860010858159348,-0.17122077224772267,0.14731374935181243
ACH-001838,0.14781942310253796,0.40549987393088205,-0.028250081124394633,-0.5140370203910304,0.2773866498594813,0.37067534005238684
ACH-000638,0.34824728951707695,-0.12109783289674475,0.10186545694050024,0.16146240422791122,0.43075057317211174,0.13358263867535375
ACH-001846,0.5927137411843708,0.16480386939693076,0.2911578514443472,-0.1062423414680493,0.4345597299999122,-0.06297668723465752
ACH-000798,0.3167983941483763,-0.03392182064050989,-0.163597039996611,0.6322424088040617,0.10146421725636907,-0.046759588548317216
ACH-001321,0.3708942889071316,-0.025037428188240334,0.16744679660734255,0.04726354544053618,0.2504994195292855,0.19773363720335982
ACH-000894,0.7110206497561928,0.21704353075802232,-0.34753919415407997,-0.36956099206170084,0.22920174689149841,-0.27256152268995854
ACH-001559,0.4746623450822781,0.373067974677927,0.47154304880388126,-0.05901650188851815,0.40667824918978296,0.19811111905004586
ACH-000344,0.19274460984857852,-0.3735658736126877,0.32394273656352995,0.28504249383217367,-0.05642288096715691,0.33289327781821226
ACH-000223,0.8521281068080983,0.6127850007664289,-0.5237466262853371,-0.0025277519600299227,0.1571280254690305,-0.09925550133999006
ACH-000031,1.2515816938701811,0.4972665008687943,0.3182879618321604,9.489276064115205e-05,0.5696765269485914,0.6777530968253601
ACH-000034,0.2014001506803041,-0.3820538613985806,-0.6912642874205216,-0.3376968299964361,-0.02637094760336006,0.9277850061391687
ACH-001861,1.023406459235237,0.29684764314607937,-0.02211094419156065,-0.43659969318287234,0.5450102945843334,0.5795117055854199
ACH-003468,-0.33469540378454565,-0.2472213331761924,-0.14942826965163564,-0.6306502575262857,0.3242342001748218,-0.1633891348093613
ACH-000772,-1.065090626567602,0.1872060495624652,0.6670475368897111,0.8508585550776362,-0.5645689791812835,0.06786741608901188
ACH-000946,-0.18412984035114802,-0.4514168687660449,-0.005949431603365862,0.1369585121856322,0.4582225333653221,-0.013098388219539977
ACH-000596,0.16421654081535644,0.1855270203018912,0.0007665642782317637,0.32607815183817657,0.048450244901850514,0.12760392352730435
ACH-001046,0.464459110856153,0.5674240520430266,-1.0076866182075588,-1.1413793442001101,1.8709920510651301,-0.10067044625119921
ACH-000632,0.7550695513143117,0.23928453630208185,0.3630893624554444,0.31570681137504647,0.9648427887726699,0.7205750696446155
ACH-000978,-1.2329058765695935,-0.39235615389067036,-0.27256889782566446,0.4013912072098028,-0.44081796209317675,-0.2331146271456789
ACH-000332,0.7017288756670103,0.43180124428118677,0.34540934927785155,0.31743737283682527,0.32290092446339563,0.2709954212058618
ACH-001841,0.34804485228632304,0.7150705457981021,-0.14766238394367118,-0.24153713263933002,0.02694349888313834,-0.045435335426862476
ACH-003273,0.6849005174304268,0.4272072054948329,-0.33377361612866246,-0.3952299507198672,0.05902536850400586,0.3783675480979484
ACH-000179,-0.7770825772290458,-0.36556075802243365,-0.010944667953295384,-0.3492273664518545,-0.17232408839241645,0.5000653585973586
ACH-000887,-0.0391435814723931,-0.467349220190813,-0.2615372090314367,-0.3540113629753338,-0.20869486242549726,-0.1483688504784777
ACH-000368,0.729826219464748,0.10501785571713504,0.9772055617467882,0.3507669686828891,0.6631924061828305,0.73037543025946
ACH-000240,0.1424554047216928,0.6752610849010909,1.3088956369847955,0.3266433529135879,0.2572178784303539,0.6062278637948143
ACH-000578,0.6631587153362849,0.2907854078692863,0.42772503431875125,0.18769590448858758,0.22182315359479765,0.28732676412141067
ACH-001611,1.1711949889497428,0.764588377863967,1.2521480578606525,0.3291072610883634,0.5940668471547877,0.21465070824269536
ACH-000135,0.6293789233138144,0.6976997022298002,1.5133228812542177,0.07587802489528041,0.303628578542053,0.32298228728111744
ACH-001671,-1.3795601803658502,-1.2793670094896183,-0.7746887306021427,-0.5884263325131479,-0.023289857062555902,0.05062355361024026
ACH-000406,0.24248171835392512,-0.01959343562726686,-0.1019253517106753,-0.4530863975727665,0.0718463867643631,-0.052254848950333
ACH-001541,0.5163853935456627,-0.6662881129577303,-0.552659107126359,-0.6644352390360446,-0.32359732247192907,-0.37812439011119636
ACH-000998,-0.22258061846513114,0.30604651440335684,-0.3286995147087928,0.7702630495030649,-0.09026917685390234,0.054581648522196984
ACH-000441,0.2694494562161582,-0.2160588050986675,0.04475947494215778,0.4429352533753888,-0.19096281380986577,-0.03952993379781498
ACH-000960,0.7532059973734839,0.1391358975274351,-0.3513932889891877,0.2966944095515636,-0.358050357818267,-0.395931989916617
ACH-000098,1.0261773861186776,0.34028234122043854,0.27850609997256986,0.6155090308872172,0.2942971460683528,0.753606584447616
ACH-001651,-0.5990795703615828,-0.2143189292486429,-0.059081117748787416,-0.729159629456149,-0.24058527877676625,-0.07944526873506184
ACH-001456,-0.716774662655373,-0.5800210275805822,-1.2294043161802324,-0.4296602762639501,-0.2592774292574552,-0.5868604803532219
ACH-001336,-0.08717086049417674,-0.46544315845160333,-0.23398109137919462,-0.6617413573160105,0.1266590132845247,0.03402926108206391
ACH-000284,0.38061179259528405,0.26401447251025906,0.9559426840630505,0.5158118554182353,0.2574265541266149,0.342214392599812
ACH-000971,-0.5457029000634189,-0.1928751707662759,-0.06754852619211368,0.5661752177018533,-0.2080373422058547,-0.40210042551576936
ACH-001454,0.07907143353412655,0.27263775470045143,-0.1442866353335158,-0.320244125677457,0.5724237989704198,0.20678574757407672
ACH-000926,-0.19911709343046433,-0.536356003870838,-0.7468158004373974,0.6121056570839294,-0.40452703836556486,-0.2656720934807801
ACH-000033,-0.4222791714153458,-0.39990753881604013,-0.12696583882419854,-0.11438208496993796,0.32769768966315305,-0.39611889790289384
ACH-000576,0.4317961625522294,-0.012741755090468118,-0.8210325238173845,-0.4201439941895243,-0.46290526432390905,-0.2337607862056382
ACH-000019,-1.0394682324864373,-0.38328939408106955,-0.5430696215510628,-0.19445525680842524,-0.34146432974068125,-0.40968578042473575
ACH-001577,-0.2617081056308903,0.18435930316603694,-0.5679879248476489,-0.8537596766871219,0.2961577482170054,0.8534683258775991
ACH-001981,-0.2680131443085138,-1.002325489373583,-0.2129325855654247,0.14335782118718404,-0.43724237791542825,-0.6083584031683712
ACH-000330,-1.4137989567096587,-0.71182026010152,-0.1324142434068133,-0.09474516409839623,-0.2670631476278336,-0.35653514093678695
ACH-000848,0.035175345882218684,-0.31317612156711344,-0.33220014911196066,0.4109528515052549,-0.26291192406536407,0.2798648277631047
ACH-000481,-0.6305741622591549,-0.40090001993198676,-0.47355138833162097,0.014471108057275962,-0.6011696112517105,-0.39981890347352733
ACH-001517,-1.240297632441658,-0.9806617520799126,-0.9611843347120675,-0.8442408932559184,-0.25448177325435895,-0.5023512809366253
