gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
KRAS,-0.21457193025208676,-0.19603322243129143,-0.018538707820795336,-0.31989640913152384,0.7490468600575689,-0.2958454153961789,-0.13240384015516954,-0.27672548418370463,-0.12183899617141969,1.0,1.0,1850.0,2068.0,1.0,1.0,0.8482026739375029
NFIL3,-0.20633042088637002,-0.18772860407428452,-0.018601816812085503,-0.31987373359059024,0.7490640501340675,-0.2847504202231339,-0.12177390524395992,-0.2613677288141533,-0.10091710978101465,1.0,1.0,2014.0,2496.0,1.0,1.0,0.8482026739375029
GLIS3,-0.24018800955373726,-0.2583278397608837,0.018139830207146435,0.3196825526994751,0.7492089872071274,-0.3135679731652225,-0.15230493457631672,-0.3270985043866821,-0.17391436844952457,1.0,1.0,2163.0,2379.0,1.0,1.0,0.8482026739375029
TIPARP,-0.38773335050388247,-0.4039831278624717,0.016249777358589235,0.3184927302068087,0.7501112082440502,-0.45830338610424753,-0.3124759345863981,-0.46832135612615705,-0.3354936101401749,1.0,1.0,1917.0,1941.0,1.0,1.0,0.8482026739375029
INA,-0.16382354812394748,-0.1822935803026491,0.018470032178701634,0.31470237962659015,0.7529876373153953,-0.25461255355442813,-0.08045966657523834,-0.26044729233887315,-0.09562461361887586,1.0,1.0,2339.0,2355.0,1.0,1.0,0.8492776165117374
UQCRC2,-0.116248912598645,-0.13359470610683175,0.01734579350818674,0.2912388193878679,0.7708686751317868,-0.2005490010954154,-0.025109728275316157,-0.2134084672097638,-0.05756738358971325,0.9935,0.9995,1990.0,2821.0,1.0,1.0,0.8621656518612251
SACS,-0.22264132946176457,-0.23926286445093553,0.01662153498917096,0.29020310151209344,0.7716608636036802,-0.30827171448554447,-0.1480360289644706,-0.31645812317705774,-0.16116006738335514,1.0,1.0,2163.0,2141.0,1.0,1.0,0.8621656518612251
ARL4C,-0.3015934186139793,-0.28557156657873656,-0.016021852035242756,-0.2897901765661318,0.7719767635263648,-0.3818681990473998,-0.22418934332154805,-0.35440186398499507,-0.20692503879264862,1.0,1.0,2048.0,1789.0,1.0,1.0,0.8621656518612251
HCFC1R1,-0.21217510868264922,-0.1953896501520376,-0.016785458530611613,-0.2894532626042371,0.7722345407827299,-0.2890558577050811,-0.12517679570148732,-0.2647567558196553,-0.11709820855334185,1.0,1.0,2404.0,2150.0,1.0,1.0,0.8621656518612251
SIK3,-0.16686805574115243,-0.15053177187127986,-0.01633628386987257,-0.27698408677868663,0.7817923252005975,-0.24333581697948375,-0.07356575018507194,-0.22484787904468884,-0.06289159304486885,1.0,1.0,2205.0,2097.0,1.0,1.0,0.8687542544513283
ESRP1,-0.18220210790917754,-0.1659733062401192,-0.01622880166905835,-0.2766148960871311,0.7820758254357763,-0.2680949028335249,-0.10042944752812888,-0.24417311963059868,-0.08827358318713596,1.0,1.0,2170.0,2854.0,1.0,1.0,0.8687542544513283
NUDT22,-0.1730203503074704,-0.1886830941081865,0.01566274380071611,0.26762883148745936,0.7889850359397214,-0.25686567284493544,-0.08838170300480996,-0.26470963147543736,-0.11155306040755691,1.0,1.0,2492.0,2635.0,1.0,1.0,0.8729954155546287
