gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
PRDM16,-0.4740416878039974,1.0,,,,,-0.2516059334235167,51.0,amiselimod,0.0007071657123133,3.0,0.9316794972885823,0.3805126855534078,5
TGIF1,-0.5762127410870836,2.0,,,-0.1103616160855965,1.0,-0.2287016556355993,93.0,Theliatinib,0.0003935163329792,1.0,1.2756460983228477,0.3799149850408146,6
ZSCAN22,-0.3319913132622835,1.0,,,,,-0.1760277511965819,21.0,UBP-296,,,,0.37975338890188504,3
TEAD3,,,-0.2329523861549495,0.0070572904225865,-0.1597921931814548,3.0,,,,0.0048468653348551,1.0,1.228919325291119,0.3740094519836176,4
MED13L,-0.3813664596273292,1.0,,,0.2047540194210763,5.0,-0.1889340122989914,20.0,SIS3,,,,0.3732780007633494,4
SLC38A2,-0.4795827361044752,1.0,,,,,0.1510663007033335,4.0,GSK3117391,,,,0.37278474778690235,3
GFI1,-0.6939271255060729,1.0,,,-0.0921364364341663,1.0,-0.3142978811696771,115.0,INCB-057643,0.0004184841579746,1.0,0.7983262481153849,0.37068711447778285,6
SOX6,-0.6104254731238453,1.0,,,0.1155247548006309,3.0,-0.1582161779327807,70.0,cbl0137,2.351959195585468e-08,1.0,0.7148106510196351,0.3700977887492151,6
TFAP2B,-0.6861319196623109,1.0,,,0.0996235670397849,1.0,-0.1668520178563438,6.0,SSR180711,,,,0.3695949939055171,4
CD47,-0.6829131652661065,1.0,,,,,-0.2410214479204354,29.0,PRLX-93936,0.0007746827655748,1.0,0.7819881440636126,0.36870652294357376,5
ZNF665,-0.5099152507953324,1.0,,,,,0.1674841457497226,5.0,AZ 628,,,,0.3662187119094815,3
MIER2,-0.3839154142086171,1.0,,,,,-0.1879451751328333,10.0,S63845,,,,0.36512662981248695,3
SBF1,-0.3268412855561405,1.0,,,,,-0.1911640652297495,27.0,DpC,,,,0.36342509942010076,3
