gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
SOX4,-0.4280293531342617,2.0,,,0.1064514713822169,1.0,0.1515299768016663,2.0,GSK3326595,,,,0.4240479294148065,4
TRPS1,-0.7922689075630251,1.0,,,,,0.1500387467894273,49.0,Dauricine - QC Failure,0.00082214520291,1.0,1.299167919820836,0.4239036599729955,5
ARHGAP45,-0.6524291497975708,1.0,-0.3148943765054703,0.0001271132192664,0.1086925402117379,2.0,-0.2703176404852748,78.0,PLX51107,0.0017536551465721,2.0,0.8299302062603645,0.42255815881490333,7
USP34,-0.3843780234861789,1.0,,,0.0889323047356409,1.0,-0.2099196032701746,27.0,S63845,,,,0.4217910084830278,4
ARL4C,-0.4085197620883187,1.0,,,-0.1204403047319209,1.0,-0.2488372057457468,128.0,MK-0429,0.0001553912422544,2.0,1.3368979584707823,0.4214242108978384,6
PIAS4,-0.5189336978810664,1.0,,,0.0998316929238773,2.0,-0.2500704972968389,64.0,S63845,0.0001095529902362,1.0,0.7917581951516188,0.4208726165852017,6
NDUFA4,-0.3348015632456694,1.0,,,0.1779355049773867,5.0,0.1518048887194964,46.0,threo-2-methylisocitrate-(DL),,,,0.4183098044225016,4
WT1,-0.5358058529802676,1.0,,,0.1016411647924189,3.0,-0.156408794870397,4.0,DM4,,,,0.417145311865158,4
FAM50A,,,0.2207920000600549,0.0421206905886592,-0.1018475647894428,1.0,,,,0.0022155792129611,1.0,1.2746235038253757,0.4164943609022556,4
CYB561A3,-0.4213091256569517,1.0,,,0.0995365304655016,1.0,-0.1913721177910755,16.0,ASTX660,,,,0.4163638021570776,4
PDGFRB,-0.4940275034806352,1.0,,,-0.117747563208423,4.0,-0.2809616269325484,31.0,LDN193189,0.0001460560508373,1.0,1.3448223915028172,0.4162853254289736,6
POU2F2,-0.4829508353986498,1.0,,,0.1147986750051991,1.0,-0.2128168804147479,67.0,inarigivir,7.849641520255771e-05,2.0,0.994131144487342,0.41573498797519526,6
ATP5F1B,-0.4123253924236757,1.0,,,0.2088046227160791,5.0,-0.2118517637161759,25.0,mitoquinone,5.8352941214885374e-05,2.0,1.2719673781228094,0.41521720060082984,6
SYVN1,-0.4407646152472238,1.0,,,-0.1790286264035039,6.0,-0.15028540623924,1.0,avadomide,,,,0.41474941825389994,4
HDDC3,-0.3182553962700242,1.0,,,,,-0.1783447559666801,4.0,OXF-BD-02,,,,0.4110322453552653,3
ISL1,-0.7221860009129972,1.0,,,,,-0.175166096797762,27.0,methylbenactyzium-bromide,0.0005653284313202,1.0,1.255864872292496,0.4100026983990183,5
PTBP3,-0.547912314979417,1.0,,,,,-0.2339949663421374,14.0,PF-06747775,0.0004943728668806,1.0,0.7814722507360892,0.4099353923246451,5
DNAJC15,-0.3317795963424404,1.0,,,,,-0.170279844322312,3.0,VLX1570,,,,0.40942059319634083,3
EGFR,-0.3123200299384173,1.0,,,0.1436654775871118,3.0,-0.4160839923351371,337.0,NRC-2694,0.0003370553970038,1.0,1.2922754237678096,0.409177955311229,6
GATA3,-0.7319567827130853,2.0,,,0.1186050518663939,1.0,-0.1707786683628317,6.0,pyrotinib,0.0002515567879408,2.0,0.8041794831554367,0.40874513416070557,6
BLNK,-0.4051157091282431,1.0,,,0.1090323611158108,2.0,-0.326655809720227,37.0,PF-06747775,0.0001073922331014,2.0,0.7681969230307155,0.4085721749916893,6
RAC1,-0.4793047528868863,1.0,-0.3510936161604994,9.63679830728962e-07,-0.3057200672698913,6.0,-0.2784940864414645,238.0,amiselimod,0.0021157261305795,1.0,1.2568350820083665,0.4075515125830607,7
SOX17,-0.755091412586784,1.0,,,,,-0.1505981823917145,2.0,VLX1570,0.0001883856568564,2.0,1.0022881837487287,0.40690400265941074,5
CCNE2,-0.5331037473787535,1.0,,,-0.1049679596666809,1.0,0.1507218147728975,18.0,Lefamulin,,,,0.40542451305696803,4
XRRA1,-0.4242599042480275,1.0,,,,,0.1616126276420319,1.0,GF109203X,,,,0.40535883576907455,3
TKT,-0.3316995782332229,1.0,,,0.1569260223636333,4.0,-0.1904766830809214,21.0,Zotatifin,,,,0.4051240211891014,4
DIXDC1,-0.6626363205310573,1.0,0.2953042724472232,0.0007082961154386,0.1149770941699069,6.0,-0.1821969212911937,42.0,S63845,1.0246824009277908e-05,2.0,1.0608086586044283,0.4044769423234895,7
SASH3,-0.4853299615024638,1.0,-0.2683025036784401,0.0034394252689476,0.1087419470824782,1.0,-0.2660441276879702,136.0,Isavuconazonium sulfate - QC Failure,4.50876218904273e-05,2.0,0.798855677432408,0.40425457118621777,7
TIPARP,-0.5430485255974414,3.0,,,-0.2446899015539708,5.0,-0.1809780002646339,124.0,PRLX-93936,0.002859248690767,2.0,1.0013503459226332,0.4028581355191391,6
EIF2D,-0.4502946329033286,1.0,,,0.1025712122466228,1.0,-0.2834742431025564,79.0,ON123300,0.000165048561233,2.0,0.9348978279693272,0.40115892646811374,6
SPI1,-0.4431566380015913,1.0,-0.258176775043031,0.0056145040349991,,,-0.2392866802321684,93.0,banoxantrone,3.438051241231934e-05,1.0,0.7754233523680752,0.3999661639015232,6
CITED2,-0.4447735878672266,1.0,,,,,-0.1997461226012444,22.0,MK-0429,9.573981244222328e-05,2.0,1.0211518970904598,0.3993755719990315,5
