gene,drug_id,name,rho,pvalue,fdr,n_lines
CDH2,BRD-K00076647-001-02-9,MK-0429,-0.3306506155947967,2.4604422819494995e-23,1.0324139499770859e-21,858
MYB,BRD-K64857848-001-06-4,ERK5-IN-1,-0.3305722585355621,8.813955339153641e-24,4.0711415847173697e-22,876
TCF3,BRD-K00003214-001-01-9,sapacitabine,-0.3305635555216925,7.864402950164985e-24,3.661490552813865e-22,878
ME2,BRD-K00003214-001-01-9,sapacitabine,-0.3305114833833067,7.999890843756928e-24,3.7171659801249883e-22,878
ERBB2,BRD-K00003343-001-01-9,VLX1570,-0.3304551522734918,8.149059604514289e-24,3.7714816054793655e-22,878
MYB,BRD-K00005242-001-01-9,TEN-010,-0.329672804497458,1.0528507876421077e-23,4.806099337650654e-22,878
ITGAV,BRD-K00003223-003-01-9,amiselimod,-0.3292979637571238,1.5900084678010122e-23,6.998432751307959e-22,873
ELOVL1,BRD-K00003223-003-01-9,amiselimod,-0.3291655532282442,1.6598373673403012e-23,7.27837128508021e-22,873
GRHL2,BRD-K00003501-001-01-9,lazertinib,-0.3284686769038023,1.5594737517443994e-23,6.876985004862283e-22,878
ITGAV,BRD-K00003343-001-01-9,VLX1570,-0.327281784024146,2.292985133252685e-23,9.726252002610117e-22,878
FAM83H,BRD-K00076465-001-02-9,ZD-4190,-0.3272134262552128,7.358018300473294e-23,2.7872221024094302e-21,858
ALDH3A1,BRD-K00076493-001-02-9,NRC-2694,-0.3271930202393096,7.405718141180703e-23,2.7962268884600227e-21,858
BLNK,BRD-K00004648-001-01-9,PF-06747775,-0.326655809720227,2.8080412819359284e-23,1.1615847936532129e-21,878
WWTR1,BRD-K00003343-001-01-9,VLX1570,-0.3263793863521912,3.070428355589061e-23,1.263416400120203e-21,878
RRAS2,BRD-K00076647-001-02-9,MK-0429,-0.3262439575162504,9.996557306709836e-23,3.690987952170968e-21,858
FOSL1,BRD-K00004604-001-01-9,PRLX-93936,-0.3255558797019901,5.313723162734282e-23,2.069872295990427e-21,873
DOCK5,BRD-K00003223-003-01-9,amiselimod,-0.3253108240931531,5.747239599438597e-23,2.2239152966569348e-21,873
PXN,BRD-K00003354-001-01-9,cinobufotalin,-0.3250448987035906,6.257272925691195e-23,2.4013954485920296e-21,873
PXN,BRD-K00003291-001-01-9,BEBT-908,-0.3242863751302454,6.020777615386096e-23,2.322072845326796e-21,878
PXN,BRD-K00003343-001-01-9,VLX1570,-0.3242365284338797,6.117721775382844e-23,2.355574848999141e-21,878
GRHL2,BRD-K00003463-001-01-9,pyrotinib,-0.3241775506911301,6.234418440314354e-23,2.396559667549788e-21,878
LIF,BRD-K00003223-003-01-9,amiselimod,-0.3233045942154436,1.089267831468587e-22,3.977869962044348e-21,873
ME2,BRD-K00003388-001-01-9,CXD101,-0.3232815827134218,1.0972549029530683e-22,3.990647540471762e-21,873
FAM83H,BRD-K00090632-066-01-9 - QC Failure,AST2818 (mesylate) - QC Failure,-0.323045535754485,2.72602660804895e-22,9.260565971412801e-21,858
LIF,BRD-K00003343-001-01-9,VLX1570,-0.3227947142790515,9.698091830613766e-23,3.597838131192142e-21,878
MYB,BRD-K00003423-001-01-9,BMS-986158,-0.3223718072063141,1.463959713069888e-22,5.239765147606344e-21,873
MYB,BRD-K00004614-001-01-9,GSK3117391,-0.3217232908015215,1.7969258108452569e-22,6.3425218713025314e-21,873
RBFOX2,BRD-K00076647-001-02-9,MK-0429,-0.3213288228469784,4.647620805154574e-22,1.5065768856875548e-20,858
PXN,BRD-K00003313-001-01-9,trabectedin,-0.3212951478385382,1.5618954596357633e-22,5.573224531695734e-21,878
