Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
FOXA2,Lung,-0.6162556043030276,-0.7235612535167371,-0.4970452371511933,1.0,1.0,123,1607.0,1.0,0.0
LPAR1,Soft Tissue,-0.6103819331278151,-0.7886717744762808,-0.4223444060906915,1.0,1.0,45,1678.0,1.0,0.0
MDM2,CNS/Brain,-0.6102282207090022,-0.751124386445813,-0.4717317031290347,1.0,1.0,82,1447.0,1.0,0.0
SOX2,Esophagus/Stomach,-0.6099071719526007,-0.7568073358231413,-0.4508908859564813,1.0,1.0,62,1588.0,1.0,0.0
CCND2,Head and Neck,-0.6097722539198596,-0.7510608013664613,-0.4286287484366999,1.0,1.0,61,1773.0,1.0,0.0
CCNE1,Ovary/Fallopian Tube,-0.6087411321093098,-0.7671074901996737,-0.4369466945262936,1.0,1.0,56,1614.0,1.0,0.0
ZEB2,Soft Tissue,-0.6052255372294114,-0.7768555266816954,-0.4193380642435336,1.0,1.0,45,1458.0,1.0,0.0
AP1M1,Bladder/Urinary Tract,-0.604009337453364,-0.8124035893233177,-0.3723914597769572,1.0,1.0,34,1737.0,1.0,0.0
HIC2,Uterus,-0.6024719292038474,-0.7974402073308962,-0.3574807363894303,1.0,0.9985,34,1647.0,1.0,0.024923076923076
CDK6,Soft Tissue,-0.6020057348286004,-0.7622504588994159,-0.3863321748716435,1.0,1.0,45,1564.0,1.0,0.0
ZBTB7B,Breast,-0.6011834586916774,-0.7586401240750911,-0.3894751016559193,1.0,1.0,50,1657.0,1.0,0.0
GLIPR1L2,Soft Tissue,-0.6010091892171695,-0.7845091302778,-0.3924445839066943,1.0,1.0,45,1157.0,1.01,0.0
MTAP,Bladder/Urinary Tract,-0.5986344129326434,-0.7926903434163712,-0.3821751512098215,1.0,1.0,34,1322.0,1.0,0.0
FERMT2,Bladder/Urinary Tract,-0.5986182715992245,-0.7968442102342652,-0.3484341944040384,1.0,0.9995,34,1343.0,1.0,0.0107999999999988
FOSL1,Bladder/Urinary Tract,-0.5959355555709989,-0.8087357330267548,-0.3606593232479219,1.0,0.999,34,1650.0,1.0,0.018
GRHL2,Biliary Tract,-0.5959039252136445,-0.8001888034277624,-0.3647022082014888,1.0,1.0,35,1341.0,1.0,0.0
PAX8,Kidney,-0.5952622517637501,-0.801171791579341,-0.3503416130208471,1.0,0.999,31,1431.0,1.0,0.0432
GRHL2,Pancreas,-0.5940764795566827,-0.7937629152828802,-0.4022923678887267,1.0,1.0,45,1553.0,1.0,0.0
FGFR1,Head and Neck,-0.5938559729552133,-0.7500215525259899,-0.4255868178528197,1.0,1.0,61,1396.0,1.0,0.0
COPG1,Bone,-0.5933184256883615,-0.7945042681582799,-0.3379008085065302,1.0,0.999,35,1292.0,1.0,0.018
CCNE1,Bone,-0.5901894837230218,-0.7908573200601219,-0.3537698927119013,1.0,0.9995,35,1453.0,1.0,0.0119999999999986
MDM2,Bone,-0.590110703889857,-0.7802097129103465,-0.3186159376808665,1.0,0.999,35,1649.0,1.0,0.018
TIPARP,Head and Neck,-0.5899055756030344,-0.7331948925595271,-0.4000792149965183,1.0,1.0,61,1754.0,1.0,0.0
TSPAN4,Biliary Tract,-0.5882976680911488,-0.8045914291622087,-0.3638175117061424,1.0,0.999,35,1382.0,1.0,0.027
FOSL1,Lung,-0.5878699398148507,-0.6960836440619338,-0.4614688323107044,1.0,1.0,123,1479.0,1.0,0.0
HIC2,Peripheral Nervous System,-0.585799676122374,-0.786585629904974,-0.3745380740729296,1.0,1.0,37,1638.0,1.0,0.0
