Gene,Rho_immune_hot,Rho_immune_cold,Delta_rho,HDI_low_hot,HDI_high_hot,HDI_low_cold,HDI_high_cold,P(rho<0)_hot,P(rho<0)_cold,ESS_hot,ESS_cold,Rhat_hot,Rhat_cold,Z_fisher,P_value,FDR
CNN3,-0.2750957370700025,-0.0323324827616364,-0.2427632543083661,-0.3494835660172735,-0.1891455332892861,-0.1170267885012817,0.0453440634912793,1.0,0.7895,2657.0,2637.0,1.0,1.0,-4.132334489789034,3.590973315943438e-05,0.000439894231203
IRF2BP2,-0.3439538918728546,-0.101202715857713,-0.2427511760151416,-0.4231315231342232,-0.2647298567100069,-0.1871101682048299,-0.023299361388605,1.0,0.989,2630.0,2336.0,1.0,1.0,-4.247945655095541,2.1573970884380163e-05,0.0003069071341939
RUNX1,-0.3236373357178218,-0.0829262847772647,-0.240711050940557,-0.4040562592015462,-0.2505040056070489,-0.1661202516880223,-0.0021491631633068,1.0,0.9795,2255.0,2558.0,1.0,1.0,-4.174691758547705,2.983897906435748e-05,0.0003987572656782
CRK,-0.3727740280572897,-0.1400734576357851,-0.2327005704215046,-0.4512545204494555,-0.3025295234148257,-0.2159123701432594,-0.0621045396562116,1.0,1.0,2000.0,2247.0,1.0,1.01,-4.142511351874354,3.4352335924609905e-05,0.00043283943265
DENND4A,-0.3850439914759712,-0.1537054103832637,-0.2313385810927075,-0.4561094209297636,-0.3086218258471995,-0.2263657573915134,-0.0724216096465419,1.0,1.0,1972.0,2082.0,1.0,1.0,-4.149030677373481,3.338860692140917e-05,0.00043283943265
VCL,-0.437265151717045,-0.2171406826389705,-0.2201244690780745,-0.506109799469737,-0.367610385692127,-0.2976367772297981,-0.1419144653311156,1.0,1.0,1898.0,2033.0,1.0,1.0,-4.102028641514754,4.095435621754932e-05,0.0004881316511334
ASCL5,-0.3106787967714994,-0.1035477894831278,-0.2071310072883716,-0.3966192817170777,-0.2419085075819933,-0.1881965340527211,-0.0286553360014045,1.0,0.996,2371.0,2456.0,1.0,1.0,-3.5927307069724503,0.0003272307155766,0.0030064321993603
BCL6,-0.4254092445334672,-0.2225417908107085,-0.2028674537227586,-0.4910056572058333,-0.3484008435813264,-0.3026102594839485,-0.1532515636265516,1.0,1.0,1897.0,1931.0,1.0,1.0,-3.767479105639735,0.0001649043378394,0.0016912282090048
DOCK7,-0.3951606238000842,-0.1954955512692194,-0.1996650725308648,-0.4653738483100245,-0.3245959087066556,-0.2734062551044097,-0.1197587688386186,1.0,1.0,2117.0,2377.0,1.0,1.0,-3.633717605533795,0.0002793666217265,0.0027377928929202
CDH2,-0.5023857005157202,-0.3042665180228673,-0.1981191824928528,-0.5625250071474901,-0.4378994052412133,-0.3829897050936414,-0.2326158824739153,1.0,1.0,1993.0,2118.0,1.0,1.0,-3.938178844451191,8.210239094090254e-05,0.0009051788601234
CCND3,-0.57692864757407,-0.3788835671605356,-0.1980450804135344,-0.6278102319845722,-0.5119907324547277,-0.4488154187468311,-0.3070908571934685,1.0,1.0,1719.0,2008.0,1.0,1.0,-4.282184358009735,1.8506754797905512e-05,0.0002720492955292
BHLHE41,-0.305824344705555,-0.1091708714613634,-0.1966534732441915,-0.3786409586736854,-0.229810561117149,-0.20051842017853,-0.0383260179353481,1.0,0.9955,1987.0,2076.0,1.0,1.0,-3.410073127686293,0.000649454631029,0.0057281898456759
BCL2A1,-0.2768581422017488,-0.0807363214005867,-0.1961218208011621,-0.3562399983481734,-0.1974281817436205,-0.1645086119862784,-0.0032185072944392,1.0,0.9715,2184.0,2063.0,1.0,1.0,-3.3611357265081265,0.0007762267148511,0.0066204582238967
SEMA4B,-0.2868226134239783,-0.092597797287443,-0.1942248161365352,-0.3690235556126355,-0.2075848800909189,-0.1716156877754539,-0.0098107991600149,1.0,0.9845,2079.0,2564.0,1.0,1.0,-3.3425094879545814,0.0008302451692127,0.0069082664079777
SLC39A7,-0.2576591772671482,-0.0696779251988718,-0.1879812520682764,-0.3396139598850434,-0.1776196040985616,-0.1460302484491285,0.015644595065196,1.0,0.9505,2159.0,2146.0,1.0,1.0,-3.203209284214548,0.0013590517761137,0.0107025327368955
FERMT2,-0.633832585875235,-0.4469098167938005,-0.1869227690814345,-0.6819741079940345,-0.5779673073474632,-0.5069885377733727,-0.3769034057949358,1.0,1.0,1638.0,2045.0,1.0,1.0,-4.4123088531734815,1.0227407628989523e-05,0.0001734725678609
ITGAV,-0.5415468453939235,-0.360485184201967,-0.1810616611919564,-0.5990721713418459,-0.4791166205790253,-0.4265664094855345,-0.2932470284324866,1.0,1.0,2130.0,2098.0,1.0,1.0,-3.783163660710678,0.0001548475232917,0.0016258989945628
TEAD1,-0.4244090058908353,-0.2447199023094423,-0.1796891035813929,-0.4975440077061455,-0.3561407870054714,-0.3261774912601339,-0.1707095489732533,1.0,1.0,1771.0,2469.0,1.0,1.0,-3.3595682726559373,0.0007806436000966,0.0066204582238967
IRF2,-0.2348071800576735,-0.0578097712131955,-0.1769974088444779,-0.3168484372502596,-0.1464880822104022,-0.1394587895698114,0.0214319058737653,1.0,0.9305,2282.0,2336.0,1.0,1.0,-2.9980730307426424,0.002716925588359,0.0203078675333275
PXN,-0.3646844242706855,-0.1955062854577994,-0.169178138812886,-0.4385585907698091,-0.2919202973993787,-0.2732500242506547,-0.1192927275084936,1.0,1.0,2164.0,2459.0,1.0,1.0,-3.044772893132917,0.0023285607226537,0.0177050910119015
